Co2, Peak 1 (s-1), 2, 3, 4, 5, 6
1, 83, 154, 226, 310, 392, 463
1_FWHM, 38, 44, 25, 16, 44, 34
2, 82, 153, 225, 312, 393, 474
2_FWHM, 37, 43, 24, 16, 43, 37
3, 82, 154, 231, 308, 393, 474
3_FWHM, 37, 45, 20, 19, 49, 35
